JDK (Java Development Kit),"자바 개발도구, 개발자라면 JDK를 설치"
JRE (Java Runtime Environment),자바 프로그램 동작시 필요한 환경. 개발자는 아니나 자바 프로그램 구동시 설치
JVM (Java Virtual Machine),자바 바이너리 파일(.class) 실행 가능
